Q5:Q1,D10:D1,D10:D1-4(Palma),P90:P10_bhc,P80:P20_bhc,P80:P50_bhc,P50:P20_bhc,GINI-BHC,top_10_perc_wealth_share,top_5_perc_wealth_share,top_1_perc_wealth_share,UN_middle_class_def_inc_share,OECD_middle_class_def_inc_share,LIH_B60_contemp_median_AHC,LIH_B50_contemp_median_AHC,LIH_B50_CV_AHC,LIH_B60_CV_AHC,LIH_B40_contemp_median_AHC,LIEH_B60_contemp_median_AHC,LIEH_B50_contemp_median_AHC,LIEH_B50_CV_median_AHC,LIEH_B60_CV_median_AHC,LIS65H_B60_CV_median_AHC,LISPH_B60_CV_median_AHC,LIS65H_B50_CV_median_AHC,LISPH_B50_CV_median_AHC,child_poverty_ahc_perc_HH_B50_CV,child_poverty_ahc_perc_HH_B60_CV,child_poverty_ahc_perc_HH_B40_contemp_median,child_poverty_ahc_perc_HH_B50_contemp_median,child_poverty_ahc_perc_HH_B60_contemp_median,child_poverty_ahc_perc_HH_B60_CV_one_or_more_FT_working_parents,child_poverty_ahc_perc_HH_B60_CV_one_or_more_PT_working_parents,national_house_rental_A30%_income_spend,national_house_purchasing_A30%_income_spend,national_house_rental_HAM,national_house_purchasing_HAM,home_ownership_rate,homelessness_percentage_of_population,priority_A_state_housing_applicants_as_pop_percent,priority_B_state_housing_applicants_as_pop_percent,debt_servicing_as_percent_of_disp_inc,house_median_multiples,unemployment_rate,60_64_years_unemp_rate,65years_and_over_unemp_rate,underemployment_rate,employees_working_long_hours,labour_market_insecurity,long_term_unemployment_rate,pop_15_to_29_NEET,low_pay_percent_OECD_def,low_pay_percent_120percent_MW_def,living_min_wage_gap_magnitude,LIS_ms-16,LP:RPW_ms-16,teriary_education_participation_rate,education_spend_as_percent_of_GDP,education_spend_as_percent_of_total_gov_expenses,median_teriary_loan_as_perc_of_med_inc_AHC,median_teriary_loan_balance_as_perc_of_med_inc_AHC,university_affordability_ratio_to_mean_salary,polytechnics_affordability_ratio_to_mean_salary,wananga_affordability_ratio_to_mean_salary,bachelors_earning_premium_hourly,dips_cert_earning_premium_hourly,school_earning_premium_hourly,bachelors_earning_premium_weekly,dips_cert_earning_premium_weekly,school_earning_premium_weekly,health_expenditure_as_percent_of_gdp,health_expenditure_per_capita_PPP,depression_adult,excellent_very_good_or_good_self_rated_health,psychological_distress_adult,mood_anxiety_disorder_adult,healthy_weight_adult,unmet_after_hours_care_due_to_cost_adult,unmet_GP_care_due_to_cost_adult,veg_and_fruit_intake_adult,breakfast_eaten_at_home_less_5_days_a_week_child,emotional_behavioural_problems_child,adult_diabetes_rates,depression_child,excellent_very_good_or_good_parent_rated_health_child,unfilled_prescription_due_to_cost_child,unmet_need_for_after_hours_due_to_cost_child,unmet_need_for_GP_due_to_cost_child,vegetable_and_fruit_intake_child,healthy_weight_child,suicides_per_100000,problem_gambling_intervention_prevelance_percent,year
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,None,NaN,NAN,NaN,NAN,null,NULL,nan,NaN,None,None,NAN,nan,nan,NAN,NaN,NaN,NAN,NaN,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,9.995119124,,31/12/1985 0:00
5.34,8.53,1.28,4.01,2.57,1.61,0.62,33.3,55,41,19,19.8,59,19,13,13,18,9,14,7,7,14,-,-,-,-,17,24,10,18,25,None,None,0.265007522,0.615998379,0.635947799,0.832719864,66.01287883,null,0.033998123,0.297630221,13.8,4.708076244,4,2.1,1.1,3.2,14.15375627,3.389422894,4.326328892,11.1,12.53418077,nan,nan,0.566552623,1.009076817,12.4\O,5.1\B,16.8\F,24.174053182917\E,36.36180499597099\K,5.275847049000189\J,3.652069417554473\C,0.4670322292243831\R,67.34426229508198\C,32.06557377049181\J,4.786885245901642\C,151.1904761904762\G,92.26190476190477\D,3.571428571428571\C,9.1,"2718,2",,,,,,,,,,,,,,,,,,,11.77016899,0.001339747,31/12/2008 0:00
???,???,???,???,???,???,???,101.5,-,-,-,20.2,57.6,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,73.29783188,None,NaN,NAN,NAN,NULL,10.6,2.8,2.5,NULL,NaN,NaN,24.32269694,null,NaN,NULL,NaN,None,null,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,13.70125542,,31/12/1991 0:00
5.26,8.66,1.31,3.68,2.59,1.65,0.64,33,-,-,-,19.6,54.9,18,13,18,-,9,9,4,8,-,-,-,1.222222222,3.444444444,27,None,14,20,28,40,11,None,None,None,None,69.06593407,null,NULL,NaN,8.3,None,7.7,3.4,1.2,NULL,NAN,NULL,19.51951938,NAN,13.12055621,NAN,nan,0.57695473,0.975691793,8.3\U,4.9\E,15.7\S,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,15.09981231,,31/12/1998 0:00
???,???,???,???,???,???,???,???,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,0.267882129,0.496710366,0.649182601,0.800634982,66.89824777,NaN,0.026813346,0.345454545,11.6,4.481678666,3.8,2.1,1.5,2.8,15.65180621,None,9.84308144,11.1,12.43929872,NAN,null,0.560911148,1.014533128,13.5\B,5.1\U,17.7\D,23.29185952694382\F,38.68104802751709\S,5.134079474249958\G,3.075128288143941\S,0.6006994713287425\J,,,,,,,8.3,"2123,6",,,,,,,,,,,,,,,,,,,12.18618167,0.000784091,31/12/2005 0:00
???,???,???,???,???,???,???,???,-,-,-,22.1,61.9,-,-,-,-,-,-,-,-,-,-,-,-,-,None,None,None,None,None,None,None,None,None,None,None,None,nan,NAN,None,NAN,NaN,7.3,2.3,3.4,nan,None,null,17.44897948,NAN,nan,NAN,NAN,NaN,null,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,13.36585255,,31/12/1989 0:00
5.31,8.1,1.2,4.13,2.59,1.61,0.62,32,-,-,-,20.2,59.1,-,-,-,-,-,-,-,-,-,2,3.166666667,2.230769231,3.538461538,None,None,None,None,None,32,13,0.264739526,0.626844957,0.643899309,0.842989993,66.31188711,null,0.024774029,0.325517013,13.1,5.000075448,3.6,1.2,NAN,3.1,14.74332887,3.250449181,5.967976829,10.9,13.44092008,NULL,NULL,0.576097368,0.987016986,13.1\V,5.4\K,17.2\P,23.963735859844\O,36.08036917548087\B,5.204035084141148\R,3.487518095478457\U,0.600718653487315\T,63.42141863699582\E,37.69123783031988\K,7.440890125173842\R,159.6153846153846\W,105.1282051282051\E,7.692307692307693\F,8.3,"2440,0",Q10.4,U89.6,6.6C,12.7,36.2M,,111.3,M43.0,7.4,1.8,5.1B,Y0.2,97.6V,,,,,H67.7,11.04369829,0.001252899,31/12/2007 0:00
5.94,9.75,1.44,4.26,2.67,1.64,0.62,35.1,-,-,-,18.9,57.5,20,14,13,18,9,11,5,5,9,1.947368421,3.210526316,2.142857143,3.571428571,18,25,12,20,28,25,13,0.286207073,0.522625904,0.672104344,0.808778559,65.10311363,NaN,0.056197706,0.252650298,9,4.703063623,6,2.9,1.7,4,13.28523676,5.591565609,8.914450139,13.2,13.69347462,None,NaN,0.556565361,1.030702749,11.0\Q,5.7\M,16.6\A,26.76747526332588\G,40.40057452920524\E,5.625365837737466\W,4.116263815877027\C,0.6335082681272718\I,60.90584028605481\Y,25.14898688915375\V,4.290822407628122\F,146.4071856287425\V,98.20359281437125\O,9.281437125748502\V,9.6,"3106,5",,,,,,,,,,,,,,,,,,,10.90000067,0.002756309,31/12/2011 0:00
5.42,8.32,1.34,3.91,2.68,1.66,0.62,33.8,-,-,-,19.2,53.2,20,13,18,25,8,8,3,7,-,-,-,1.555555556,3.888888889,28,37,11,21,30,42,12,None,None,None,None,67.6567223,0.737103455,NAN,None,8.5,3.20403204,5.5,3.4,1.3,nan,NaN,nan,17.34475386,nan,12.22912863,NAN,NaN,0.552677842,1.027041175,11.0\X,5.1\V,16.8\A,25.97396449704142\H,39.08165680473373\H,5.551530319919428\T,4.960433429642005\A,1.794410239487352\W,,,,,,,7.6,"1693,8",,,,,,,,,,,,,,,,,,,12.86341361,,31/12/2001 0:00
???,???,???,3.79,2.55,1.66,0.65,33.1,-,-,-,19.8,55.2,18,13,20,-,8,6,3,7,-,-,-,1.45,3.7,31,None,12,20,28,39,9,None,None,None,None,70.20445833,null,NAN,NAN,None,None,6.3,2.9,1.4,None,None,null,21.16650992,nan,nan,null,null,0.573814339,0.982628357,8.200000000000001\U,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,14.65653295,,31/12/1996 0:00
